number,name,swaras_raw,swaras
52,Rāmapriyā ,S R₁ G₃ M₂ P D₂ N₂ Ṡ,S R1 G3 M2 P D2 N2 S'
53,Gamanāśrama ,S R₁ G₃ M₂ P D₂ N₃ Ṡ,S R1 G3 M2 P D2 N3 S'
54,Viśvambari ,S R₁ G₃ M₂ P D₃ N₃ Ṡ,S R1 G3 M2 P D3 N3 S'
55,Śāmaḻāngi ,S R₂ G₂ M₂ P D₁ N₁ Ṡ,S R2 G2 M2 P D1 N1 S'
56,Śanmukhapriyā ,S R₂ G₂ M₂ P D₁ N₂ Ṡ,S R2 G2 M2 P D1 N2 S'
57,Simhendramadhyamam ,S R₂ G₂ M₂ P D₁ N₃ Ṡ,S R2 G2 M2 P D1 N3 S'
58,Hemavati ,S R₂ G₂ M₂ P D₂ N₂ Ṡ,S R2 G2 M2 P D2 N2 S'
59,Dharmavati ,S R₂ G₂ M₂ P D₂ N₃ Ṡ,S R2 G2 M2 P D2 N3 S'
60,Nītimati ,S R₂ G₂ M₂ P D₃ N₃ Ṡ,S R2 G2 M2 P D3 N3 S'
61,Kāntāmaṇi ,S R₂ G₃ M₂ P D₁ N₁ Ṡ,S R2 G3 M2 P D1 N1 S'
62,Riśabhapriyā ,S R₂ G₃ M₂ P D₁ N₂ Ṡ,S R2 G3 M2 P D1 N2 S'
63,Latāngi ,S R₂ G₃ M₂ P D₁ N₃ Ṡ,S R2 G3 M2 P D1 N3 S'
64,Vāchaspati ,S R₂ G₃ M₂ P D₂ N₂ Ṡ,S R2 G3 M2 P D2 N2 S'
65,Mechakalyāni ,S R₂ G₃ M₂ P D₂ N₃ Ṡ,S R2 G3 M2 P D2 N3 S'
66,Chitrāmbari ,S R₂ G₃ M₂ P D₃ N₃ Ṡ,S R2 G3 M2 P D3 N3 S'
67,Sucharitrā ,S R₃ G₃ M₂ P D₁ N₁ Ṡ,S R3 G3 M2 P D1 N1 S'
68,Jyoti svarupini ,S R₃ G₃ M₂ P D₁ N₂ Ṡ,S R3 G3 M2 P D1 N2 S'
69,Dhāthuvardhani ,S R₃ G₃ M₂ P D₁ N₃ Ṡ,S R3 G3 M2 P D1 N3 S'
70,Nāsikābhūśaṇi ,S R₃ G₃ M₂ P D₂ N₂ Ṡ,S R3 G3 M2 P D2 N2 S'
71,Kōsalam ,S R₃ G₃ M₂ P D₂ N₃ Ṡ,S R3 G3 M2 P D2 N3 S'
72,Rasikapriyā ,S R₃ G₃ M₂ P D₃ N₃ Ṡ,S R3 G3 M2 P D3 N3 S'
