144	59	72	0	4740
144	64	79	0	4743
144	67	78	0	4751
144	76	80	0	4754
144	69	74	0	4758
144	74	64	0	5619
128	76	64	0	5759
128	74	64	0	6015
144	72	81	0	6044
128	72	64	0	6165
128	64	64	0	6188
128	59	64	0	6197
128	67	64	0	6221
128	69	64	0	6251
144	67	48	0	6546
144	74	42	0	6549
144	72	58	0	6561
144	69	42	0	6564
128	69	64	0	6642
144	64	75	0	6648
144	59	78	0	6659
144	76	92	0	6676
128	72	64	0	6703
128	74	64	0	6763
144	74	80	0	7578
128	76	64	0	7637
128	74	64	0	7996
144	72	81	0	8045
128	72	64	0	8146
128	59	64	0	8168
128	67	64	0	8170
128	64	64	0	8173
144	67	52	0	8944
144	69	50	0	8947
144	74	56	0	8958
144	72	50	0	8996
144	59	66	0	9026
144	64	75	0	9030
128	72	64	0	9056
144	76	92	0	9060
128	74	64	0	9122
128	76	64	0	11535
128	67	64	0	11644
128	69	64	0	11651
128	59	64	0	11670
128	64	64	0	11676
144	59	69	0	12292
144	64	70	0	12311
144	76	81	0	12317
144	67	68	0	12322
144	69	65	0	12325
144	74	74	0	13181
128	76	64	0	13202
128	74	64	0	13311
144	72	77	0	13595
128	72	64	0	13682
128	64	64	0	13712
128	59	64	0	13747
128	67	64	0	13787
128	69	64	0	13792
144	74	64	0	14059
144	67	50	0	14075
144	69	50	0	14080
144	76	93	0	14163
144	64	66	0	14171
144	59	78	0	14180
128	74	64	0	14201
144	74	79	0	15049
128	76	64	0	15115
128	74	64	0	15369
144	72	79	0	15490
128	67	64	0	15588
128	69	64	0	15592
128	72	64	0	15608
128	64	64	0	15626
128	59	64	0	15637
144	74	63	0	15880
144	64	82	0	15973
144	59	81	0	15977
144	76	89	0	15988
128	74	64	0	16022
144	67	61	0	17007
144	69	59	0	17010
144	72	73	0	17014
128	67	64	0	19178
128	69	64	0	19189
128	72	64	0	19199
128	59	64	0	19217
128	64	64	0	19246
128	76	64	0	19300
144	76	87	0	19794
144	59	83	0	19802
144	67	83	0	19805
144	64	81	0	19809
144	71	88	0	19817
144	74	77	0	20752
128	74	64	0	20821
144	72	73	0	21168
128	76	64	0	21182
128	71	64	0	21266
128	67	64	0	21306
128	64	64	0	21312
128	72	64	0	21318
128	59	64	0	21320
144	74	70	0	21591
144	67	68	0	21604
144	59	81	0	21631
144	64	78	0	21634
144	76	92	0	21655
128	74	64	0	21708
144	74	59	0	22488
128	74	64	0	22559
144	72	66	0	22950
144	74	48	0	22978
128	76	64	0	22991
128	67	64	0	22993
128	74	64	0	23043
128	59	64	0	23065
128	72	64	0	23072
128	64	64	0	23110
144	74	71	0	23605
144	70	66	0	23608
144	59	76	0	23627
144	64	72	0	23632
144	76	92	0	23657
128	74	64	0	23714
144	71	68	0	25573
128	70	64	0	25607
128	71	64	0	26596
144	72	54	0	26624
128	76	64	0	27146
128	64	64	0	27283
128	59	64	0	27283
128	72	64	0	27288
144	73	55	0	27717
144	76	65	0	27730
144	59	67	0	27734
144	64	64	0	27739
144	77	79	0	27796
128	76	64	0	27814
144	76	74	0	28686
128	77	64	0	28720
128	76	64	0	29170
144	74	74	0	29173
