
-- test_adjacency_recursive p#642 i=5
         452253 function calls (445756 primitive calls) in 0.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   378/35    0.001    0.000    0.347    0.010 {built-in method builtins.__import__}
      133    0.001    0.000    0.001    0.000 posixpath.py:71(join)
     6665    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     2725    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      145    0.001    0.000    0.004    0.000 deprecation.py:168(deprecate)
     5340    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.033    0.033 backend_qt5.py:1(<module>)
      700    0.001    0.000    0.005    0.000 colors.py:161(to_rgba)
     2631    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
    270/6    0.001    0.000    0.437    0.073 <frozen importlib._bootstrap_external>:777(exec_module)
      274    0.001    0.000    0.003    0.000 function_base.py:451(add_newdoc)
      269    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      164    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
     5551    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      151    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
       12    0.001    0.000    0.001    0.000 artist.py:1273(<listcomp>)
     1574    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       41    0.001    0.000    0.001    0.000 pyparsing.py:2234(__init__)
  324/320    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       11    0.001    0.000    0.051    0.005 artist.py:1386(pprint_setters)
       70    0.001    0.000    0.008    0.000 __init__.py:1364(_preprocess_data)
        4    0.001    0.000    0.001    0.000 {built-in method gc.collect}
       16    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:957(_parseNoCache)
     1320    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      269    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1398    0.001    0.000    0.003    0.000 re.py:188(match)
      164    0.001    0.000    0.022    0.000 sre_parse.py:937(parse)
     2401    0.001    0.000    0.001    0.000 enum.py:631(__new__)
       30    0.001    0.000    0.001    0.000 function_base.py:23(linspace)
      807    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      222    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3837    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1848    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
       32    0.001    0.000    0.005    0.000 colors.py:776(from_list)
     1937    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      425    0.001    0.000    0.001    0.000 artist.py:1363(aliased_name)
      679    0.001    0.000    0.001    0.000 functools.py:64(wraps)
     2238    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      888    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      642    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       30    0.001    0.000    0.001    0.000 {built-in method io.open}
     1126    0.001    0.000    0.002    0.000 colors.py:124(_is_nth_color)
      747    0.001    0.000    0.001    0.000 posixpath.py:60(isabs)
      541    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      269    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      350    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      301    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
      350    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1214    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
      303    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      571    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:376(cached)
      428    0.000    0.000    0.004    0.000 rcsetup.py:360(validate_color)
     1659    0.000    0.000    0.001    0.000 inspect.py:158(isfunction)
      326    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      690    0.000    0.000    0.020    0.000 inspect.py:3103(signature)
      649    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      347    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      107    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
      128    0.000    0.000    0.000    0.000 pyparsing.py:807(__init__)
      442    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      233    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      164    0.000    0.000    0.001    0.000 enum.py:933(__and__)
      972    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
       20    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
     3246    0.000    0.000    0.000    0.000 inspect.py:2539(name)
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      188    0.000    0.000    0.000    0.000 colors.py:850(<listcomp>)
      183    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
       87    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.015    0.015 numeric.py:1(<module>)
      315    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      176    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
     1995    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      690    0.000    0.000    0.019    0.000 inspect.py:2851(from_callable)
