         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9931    0.027    0.000    1.033    0.000 transforms.py:1947(rotate_deg_around)
    27978    0.167    0.000    1.013    0.000 transforms.py:1091(get_points)
     9072    0.037    0.000    0.996    0.000 _base.py:3066(set_ybound)
     1890    0.037    0.000    0.987    0.001 collections.py:207(get_datalim)
    45954    0.042    0.000    0.980    0.000 transforms.py:282(__array__)
     7182    0.041    0.000    0.973    0.000 transforms.py:1246(contains_branch_seperately)
    68417    0.194    0.000    0.968    0.000 transforms.py:163(set_children)
    20520    0.026    0.000    0.954    0.000 transforms.py:2727(get_transformed_path_and_affine)
      120    0.007    0.000    0.938    0.008 axis.py:961(_update_ticks)
127008/81648    0.436    0.000    0.936    0.000 units.py:125(get_converter)
     9072    0.611    0.000    0.930    0.000 _base.py:2266(<listcomp>)
     9072    0.489    0.000    0.923    0.000 colors.py:440(__call__)
     7182    0.028    0.000    0.916    0.000 transforms.py:1226(contains_branch)
     6000    0.010    0.000    0.893    0.000 backend_agg.py:122(draw_markers)
     6000    0.446    0.000    0.882    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   168731    0.476    0.000    0.871    0.000 weakref.py:214(values)
     9072    0.047    0.000    0.863    0.000 transforms.py:988(_set_intervalx)
     9174    0.177    0.000    0.849    0.000 lines.py:670(recache)
      120    0.000    0.000    0.849    0.007 axis.py:969(<listcomp>)
      960    0.003    0.000    0.848    0.001 axis.py:908(iter_ticks)
       61    0.001    0.000    0.843    0.014 tkagg.py:11(blit)
     9072    0.096    0.000    0.835    0.000 _base.py:3111(set_ylim)
     8574    0.013    0.000    0.821    0.000 lines.py:983(get_path)
    12210    0.046    0.000    0.820    0.000 transforms.py:1315(transform)
    19862    0.375    0.000    0.768    0.000 transforms.py:1957(translate)
     5670    0.015    0.000    0.754    0.000 core.py:6508(__call__)
   116491    0.213    0.000    0.750    0.000 weakref.py:149(__setitem__)
    21120    0.018    0.000    0.738    0.000 transforms.py:2743(get_affine)
   602346    0.735    0.000    0.735    0.000 __init__.py:934(__getitem__)
    11358    0.018    0.000    0.714    0.000 lines.py:1156(set_marker)
    86981    0.155    0.000    0.711    0.000 fromnumeric.py:1973(all)
    43860    0.104    0.000    0.701    0.000 transforms.py:1735(frozen)
35458/1992    0.041    0.000    0.672    0.000 transforms.py:2322(_invalidate_internal)
   251310    0.215    0.000    0.670    0.000 random.py:250(choice)
    54552    0.595    0.000    0.662    0.000 transforms.py:2747(nonsingular)
    12210    0.027    0.000    0.654    0.000 transforms.py:2368(transform_affine)
    11358    0.017    0.000    0.653    0.000 lines.py:548(set_fillstyle)
    323/3    0.003    0.000    0.619    0.206 <frozen importlib._bootstrap>:2234(_find_and_load)
    323/3    0.002    0.000    0.619    0.206 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
5816/4256    0.015    0.000    0.618    0.000 spines.py:404(get_spine_transform)
    312/4    0.002    0.000    0.617    0.154 <frozen importlib._bootstrap>:1186(_load_unlocked)
    267/4    0.000    0.000    0.617    0.154 <frozen importlib._bootstrap>:1122(_exec)
    267/4    0.001    0.000    0.617    0.154 <frozen importlib._bootstrap>:1465(exec_module)
    371/4    0.000    0.000    0.616    0.154 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
6064/4256    0.003    0.000    0.605    0.000 spines.py:148(_ensure_position_is_set)
      248    0.001    0.000    0.603    0.002 spines.py:359(set_position)
    29977    0.158    0.000    0.582    0.000 transforms.py:781(__init__)
   167564    0.169    0.000    0.573    0.000 numeric.py:463(asarray)
1035692/1035690    0.467    0.000    0.573    0.000 {built-in method isinstance}
   208929    0.199    0.000    0.558    0.000 numeric.py:534(asanyarray)
    54432    0.079    0.000    0.543    0.000 axis.py:1465(convert_units)
       21    0.000    0.000    0.541    0.026 _base.py:620(_init_axis)
    14364    0.029    0.000    0.540    0.000 transforms.py:2343(_iter_break_from_left_to_right)
      120    0.002    0.000    0.536    0.004 axis.py:1317(get_major_ticks)
     9195    0.038    0.000    0.514    0.000 _base.py:922(_set_artist_props)
    53972    0.055    0.000    0.510    0.000 figure.py:54(_stale_figure_callback)
    72824    0.204    0.000    0.506    0.000 numeric.py:2667(seterr)
    27216    0.032    0.000    0.503    0.000 axis.py:1406(update_units)
   119914    0.499    0.000    0.499    0.000 {built-in method dot}
     1001    0.070    0.000    0.490    0.000 ParkingSimulation.py:178(update)
     1890    0.009    0.000    0.472    0.000 collections.py:893(__init__)
    18144    0.291    0.000    0.470    0.000 _base.py:2285(<listcomp>)
     6709    0.017    0.000    0.462    0.000 ParkingSimulation.py:227(look_for_parking_nearby)
  696/614    0.006    0.000    0.460    0.001 axis.py:414(_get_tick1line)
      600    0.005    0.000    0.459    0.001 axis.py:249(draw)
     5670    0.019    0.000    0.453    0.000 core.py:7758(asanyarray)
  696/614    0.006    0.000    0.444    0.001 axis.py:546(_get_tick1line)
    27481    0.029    0.000    0.443    0.000 backend_bases.py:724(new_gc)
  696/614    0.007    0.000    0.441    0.001 axis.py:425(_get_tick2line)
  696/614    0.006    0.000    0.434    0.001 axis.py:561(_get_tick2line)
     5670    0.067    0.000    0.431    0.000 core.py:2796(__new__)
   252497    0.318    0.000    0.428    0.000 random.py:220(_randbelow)
    27481    0.148    0.000    0.414    0.000 backend_bases.py:786(__init__)
     1890    0.044    0.000    0.411    0.000 collections.py:105(__init__)
3780/1890    0.021    0.000    0.394    0.000 transforms.py:2314(frozen)
    90090    0.303    0.000    0.392    0.000 ParkingSimulation.py:24(update)
    18540    0.051    0.000    0.391    0.000 lines.py:640(axes)
    31778    0.055    0.000    0.388    0.000 artist.py:74(_stale_axes_callback)
    51270    0.056    0.000    0.379    0.000 artist.py:192(convert_xunits)
     1890    0.012    0.000    0.376    0.000 transforms.py:529(inverse_transformed)
   583279    0.294    0.000    0.373    0.000 {built-in method getattr}
   357/23    0.001    0.000    0.367    0.016 {built-in method __import__}
    54031    0.167    0.000    0.363    0.000 pyplot.py:565(_auto_draw_if_interactive)
    10909    0.044    0.000    0.361    0.000 transforms.py:1972(scale)
    11340    0.143    0.000    0.359    0.000 core.py:2959(__array_finalize__)
    51270    0.054    0.000    0.359    0.000 artist.py:201(convert_yunits)
    62744    0.113    0.000    0.358    0.000 colors.py:128(to_rgba)
    10962    0.038    0.000    0.345    0.000 _base.py:1987(_process_unit_info)
39170/38344    0.051    0.000    0.342    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
    18501    0.074    0.000    0.338    0.000 artist.py:851(update)
   172606    0.196    0.000    0.336    0.000 cbook.py:678(iterable)
    36412    0.053    0.000    0.335    0.000 numeric.py:3064(__enter__)
       12    0.001    0.000    0.334    0.028 __init__.py:1(<module>)
    12034    0.051    0.000    0.334    0.000 transforms.py:838(from_extents)
       84    0.000    0.000    0.333    0.004 spines.py:154(register_axis)
   116491    0.331    0.000    0.331    0.000 weakref.py:297(__init__)
    14411    0.128    0.000    0.329    0.000 cbook.py:498(connect)
    38576    0.066    0.000    0.326    0.000 fromnumeric.py:1886(any)
  2059608    0.320    0.000    0.320    0.000 artist.py:930(sticky_edges)
    20251    0.080    0.000    0.320    0.000 numeric.py:2365(identity)
    18144    0.064    0.000    0.319    0.000 ticker.py:1805(view_limits)
6388/2660    0.007    0.000    0.317    0.000 _base.py:688(get_xaxis_transform)
     5520    0.046    0.000    0.316    0.000 path.py:528(get_extents)
21566/14384    0.032    0.000    0.315    0.000 transforms.py:2337(__eq__)
