memoizing neighbors
got new color (0, 255, 255, 255) at (0, 0)
got new color (0, 0, 0, 255) at (49, 140)
map size 90000 pixels
filling elevation for 18000 steps, plotting every None
step 0
step 1000
step 2000
step 3000
step 4000
step 5000
step 6000
step 7000
step 8000
step 9000
step 10000
step 11000
step 12000
step 13000
step 14000
step 15000
step 16000
step 17000
         1385756690 function calls (1385534453 primitive calls) in 666.268 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    54314    0.008    0.000    0.008    0.000 {method 'bit_length' of 'int' objects}
       66    0.008    0.000    0.008    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1029    0.007    0.000    0.007    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    12807    0.007    0.000    0.007    0.000 __init__.py:870(__getitem__)
  504/208    0.007    0.000    0.018    0.000 sre_parse.py:491(_parse)
      680    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
    18000    0.006    0.000    0.006    0.000 fromnumeric.py:3149(_mean_dispatcher)
     1480    0.005    0.000    0.005    0.000 {built-in method posix.stat}
    18109    0.004    0.000    0.004    0.000 fromnumeric.py:2499(_amax_dispatcher)
      615    0.004    0.000    0.009    0.000 inspect.py:2065(_signature_from_function)
    18805    0.004    0.000    0.004    0.000 {method 'values' of 'dict' objects}
  945/199    0.004    0.000    0.010    0.000 sre_compile.py:64(_compile)
6227/4884    0.004    0.000    0.007    0.000 artist.py:225(stale)
        1    0.004    0.004    0.017    0.017 font_manager.py:1198(_findfont_cached)
      298    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
     7354    0.004    0.000    0.010    0.000 _asarray.py:16(asarray)
      298    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      298    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      760    0.003    0.000    0.008    0.000 colors.py:184(_to_rgba_no_colorcycle)
    18110    0.003    0.000    0.003    0.000 fromnumeric.py:2624(_amin_dispatcher)
        2    0.003    0.002    0.007    0.003 contour.py:1475(_process_args)
      576    0.003    0.000    0.013    0.000 inspect.py:1052(getfullargspec)
      883    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        3    0.003    0.001    0.003    0.001 {method 'create_contour' of 'matplotlib.QuadContourGenerator' objects}
      465    0.003    0.000    0.003    0.000 font_manager.py:1111(score_weight)
      465    0.003    0.000    0.003    0.000 font_manager.py:1093(score_stretch)
      447    0.003    0.000    0.003    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
     2900    0.003    0.000    0.038    0.000 re.py:278(_compile)
       38    0.003    0.000    0.049    0.001 contour.py:1149(<listcomp>)
     4699    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     3590    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     1800    0.003    0.000    0.003    0.000 transforms.py:83(__init__)
     3590    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     1867    0.003    0.000    0.015    0.000 colors.py:150(to_rgba)
       27    0.003    0.000    0.013    0.000 __init__.py:978(_rc_params_in_file)
      362    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     3074    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa3bda0}
    22030    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      580    0.002    0.000    0.004    0.000 functools.py:43(update_wrapper)
     6245    0.002    0.000    0.002    0.000 sre_parse.py:226(__next)
       12    0.002    0.000    0.017    0.001 artist.py:1179(_get_setters_and_targets)
 1551/811    0.002    0.000    0.003    0.000 sre_parse.py:167(getwidth)
    24319    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      261    0.002    0.000    0.003    0.000 sre_compile.py:248(_optimize_charset)
       66    0.002    0.000    0.032    0.000 text.py:280(_get_layout)
      465    0.002    0.000    0.005    0.000 font_manager.py:1032(score_family)
      802    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3358    0.002    0.000    0.009    0.000 __init__.py:1357(_to_unmasked_float_array)
      102    0.002    0.000    0.018    0.000 lines.py:277(__init__)
      614    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
       30    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      654    0.002    0.000    0.003    0.000 inspect.py:2664(__init__)
      298    0.002    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:729(get_code)
      467    0.002    0.000    0.009    0.000 artist.py:885(update)
    10756    0.002    0.000    0.003    0.000 mathtext.py:2739(<genexpr>)
      344    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      317    0.002    0.000    0.045    0.000 overrides.py:154(decorator)
      596    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
    366/8    0.002    0.000    0.384    0.048 <frozen importlib._bootstrap>:966(_find_and_load)
      465    0.002    0.000    0.002    0.000 font_manager.py:1055(<listcomp>)
     1795    0.002    0.000    0.013    0.000 __init__.py:829(__setitem__)
     3535    0.002    0.000    0.002    0.000 sre_parse.py:157(__getitem__)
      280    0.002    0.000    0.003    0.000 artist.py:82(__init__)
       80    0.002    0.000    0.004    0.000 function_base.py:37(linspace)
      287    0.002    0.000    0.007    0.000 overrides.py:72(verify_matching_signatures)
    352/9    0.002    0.000    0.383    0.043 <frozen importlib._bootstrap>:659(_load_unlocked)
4814/4810    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     5169    0.002    0.000    0.003    0.000 sre_parse.py:247(get)
       33    0.002    0.000    0.017    0.001 __init__.py:356(namedtuple)
       67    0.002    0.000    0.012    0.000 colors.py:713(from_list)
      351    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
      615    0.001    0.000    0.011    0.000 inspect.py:2146(_signature_from_callable)
      447    0.001    0.000    0.011    0.000 textwrap.py:415(dedent)
      730    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:94(acquire)
     2339    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.001    0.001    0.003    0.002 decoder.py:345(raw_decode)
